date,total_buy,total_sell,daily_net,cumulative_net,bsa_net,bsa_cumulative,continuous_net,continuous_cumulative,huge_net,huge_cumulative
2020-01-02,13832.689999999999,10568.189999999999,3264.5,3264.5,2227.9,2227.9,1047.58,1047.58,1180.3199999999997,1180.3199999999997
2020-01-03,15168.41,14954.939999999999,213.48,3477.98,-692.61,1535.29,632.6199999999999,1680.1999999999998,-1325.2399999999998,-144.92000000000007
2020-01-06,12935.970000000001,12552.990000000002,382.98,3860.96,-236.77,1298.52,-6.970000000000027,1673.2299999999998,-229.78999999999996,-374.71000000000004
2020-01-07,11191.009999999998,11248.91,-57.91,3803.05,-61.37,1237.15,151.05999999999995,1824.2899999999997,-212.42000000000007,-587.1300000000001
2020-01-08,12181.35,12131.71,49.64,3852.69,309.05,1546.2,-86.26999999999998,1738.0199999999998,395.32000000000016,-191.80999999999995
2020-01-09,13945.41,11454.529999999999,2490.88,6343.57,2899.85,4446.05,1664.5900000000001,3402.6099999999997,1235.2600000000002,1043.4500000000003
2020-01-10,13523.39,12419.32,1104.06,7447.629999999999,1673.91,6119.96,689.0899999999999,4091.7,984.8199999999997,2028.27
2020-01-13,19014.27,13423.58,5590.69,13038.32,5947.05,12067.01,2146.25,6237.95,3800.8,5829.07
2020-01-14,14616.86,15999.68,-1382.82,11655.5,-757.45,11309.56,86.25999999999976,6324.209999999999,-843.71,4985.36
2020-01-15,10762.49,10906.579999999998,-144.09,11511.41,259.24,11568.8,408.3900000000001,6732.599999999999,-149.14999999999964,4836.21
2020-01-16,12286.7,11365.47,921.23,12432.64,974.02,12542.82,634.1000000000001,7366.7,339.9200000000001,5176.13
2020-01-17,14486.88,12194.54,2292.35,14724.99,1952.84,14495.66,443.3399999999999,7810.04,1509.4899999999998,6685.62
2020-01-20,14235.67,14663.21,-427.54,14297.449999999999,-230.31,14265.35,35.429999999999836,7845.469999999999,-265.7399999999998,6419.88
2020-01-21,17786.17,20219.59,-2433.42,11864.029999999999,-2190.68,12074.67,-731.96,7113.509999999999,-1458.7299999999996,4961.150000000001
2020-01-22,15002.89,12279.42,2723.47,14587.499999999998,1445.88,13520.55,1180.69,8294.199999999999,265.1899999999996,5226.34
2020-01-23,14404.279999999999,15822.91,-1418.62,13168.879999999997,-1035.12,12485.43,-268.9000000000001,8025.299999999999,-766.2199999999993,4460.120000000001
2020-01-24,6066.15,5098.98,967.18,14136.059999999998,475.84,12961.27,230.18999999999994,8255.49,245.6500000000001,4705.77
2020-01-29,19586.690000000002,18498.69,1088.0,15224.059999999998,600.97,13562.24,622.9000000000001,8878.39,-21.93000000000029,4683.84
2020-01-30,17437.89,20670.78,-3232.89,11991.169999999998,-1887.09,11675.15,-560.7799999999997,8317.61,-1326.3100000000004,3357.5299999999997
2020-01-31,13520.57,13883.41,-362.84,11628.329999999998,17.48,11692.63,13.659999999999854,8331.27,3.819999999999709,3361.3499999999995
2020-02-03,20809.71,18541.68,2268.03,13896.359999999999,1007.42,12700.05,860.0400000000004,9191.310000000001,147.39000000000033,3508.74
2020-02-04,21608.230000000003,18003.510000000002,3604.72,17501.079999999998,2072.28,14772.33,973.5900000000001,10164.900000000001,1098.6900000000005,4607.43
2020-02-05,20228.39,16734.09,3494.3,20995.379999999997,1660.56,16432.89,417.6199999999999,10582.52,1242.9400000000005,5850.370000000001
2020-02-06,19364.620000000003,14777.34,4587.29,25582.67,3024.99,19457.879999999997,2036.32,12618.84,988.6599999999999,6839.030000000001
2020-02-07,13071.02,10353.8,2717.23,28299.899999999998,1883.14,21341.019999999997,639.6699999999998,13258.51,1243.4699999999998,8082.5
2020-02-10,13924.55,10579.58,3344.97,31644.87,1881.25,23222.269999999997,706.1299999999999,13964.64,1175.1199999999994,9257.619999999999
